Seagrass,PWY_2941,P241_PWY,PWY_4722,PWY_6167,PWY_6339,PWY_6471,PWY_6470
1,1.2801571423277152,-2.710106713,0.5035889053713721,0.5287975368313864,0.4718979457445278,0.5283317577061258,-0.058833355
1,0.8999235079380201,-19.20636741,0.5534700961285853,0.3004399030788713,0.7644408452557161,0.4343427661295866,-0.321180649
1,0.6438945244573899,-2.861408129,-0.241822863,0.094333109,0.4860527520484091,0.4572144143495695,-0.337323117
1,0.9998786181971816,-19.06902156,-0.079629155,0.5866979031881976,0.1693675613985433,-0.602002428,-1.037134009
1,1.840171242384835,-18.57790772,1.031922295060971,-18.57790772,1.2347750346181363,0.9182628779932502,0.1190111901668315
1,2.387500841693861,-18.68204525,1.2341268605344793,-18.68204525,1.2814534375726292,1.6517018666846022,0.8075403461593255
0,0.7039698155340594,-4.247004669,-0.327155757,0.9331857007738512,0.5305661054446963,-0.46960362,-0.965728205
0,0.4917650375544278,-18.96250568,-1.486464273,-0.892702735,0.8184986675265197,0.2784419600856425,-0.588341992
0,1.1020837051557184,-1.460344764,-18.2301458,1.2225405101866351,0.8464100877974928,0.3601043436573141,-0.452528054
0,0.093985257,-1.28660893,-0.88364577,0.2952827575698908,0.6922217923979673,-0.553195953,-0.956075125
0,1.9797802126666488,-18.58837667,-0.348186316,-1.016975654,1.113121589852765,1.4904741976125817,0.436948193
0,2.189167834005238,-3.666159932,-0.199618598,-17.81733141,1.6678098785611375,1.2909483874680832,0.2757210359798827
1,3.902383201292495,-3.08648312,-0.716777347,-0.522047261,-0.691475176,4.084653198344385,2.941802897121738
1,-0.763839284,-2.778854629,-0.560929841,-19.70754663,0.1128220017441008,0.1061636313637961,-1.174628086
1,1.816499131949682,-2.485135562,-0.689582094,-20.84786001,0.4856191805583209,2.5994746844932752,-0.04224623
1,1.7173535139880889,-20.74086724,-1.230855529,-0.832452128,0.056421924,2.4795330022641684,-0.499648091
1,0.1639837290443015,-2.473301977,-1.447157014,-1.960356971,-0.211273568,0.7808227688954466,-2.184644792
1,3.3866836198522763,-2.60660155,-2.077216305,-1.01476237,0.00282232,3.5685984811208677,1.3457921244006803
1,-0.667347035,-17.65883139,0.949683301,1.066948484064701,1.976852770942789,0.2804107728464438,-1.347336759
1,-0.622871805,-17.90186886,0.7083927811776088,-17.90186886,1.7410127359142675,-17.90186886,-17.90186886
1,0.885197819,-1.21369838,-18.64110162,1.2607373620939366,0.6759624079370956,-0.625975449,-0.795546836
1,0.3594052306944416,-4.290399135,-0.646967396,0.5353701691243443,0.8987173219598005,0.5998571400220777,0.1188162272537266
1,0.7906926148291266,-18.28732088,-0.814478959,0.8881983758894141,0.938865437,0.3733300342819371,-0.088865788
