target,E_D_4_Corallinophycidae,B_D_4_Hyphomonadaceae,B_D_4_Defluviitaleaceae,B_D_4_Desulfobulbaceae,E_D_4_Novel_Apicomplexa_Class_1,E_D_4_Rhodymeniophycidae,B_D_4_Kiloniellaceae,B_D_4_Pirellulaceae,B_D_4_Flavobacteriaceae,E_D_4_Intramacronucleata,B_D_4_Crocinitomicaceae,B_D_4_Marinilabiliaceae,B_D_3_BD7_8_other,B_D_4_uncultured_Aminicenantes_bacterium,B_D_4_Erysipelotrichaceae,B_D_4_bacterium_enrichment_culture_clone_22(2013),B_D_4_Clostridiaceae_1
0,0,0,0,4.901572202,27.31903622,0,0.435988902,5.615008588,8.98401374,0.30563904,0,1.241907782,0,0,0.488836042,0,0.145329634
0,0,0.179767936,0,3.856839353,21.22064175,0,0.310508253,3.366563164,15.86860598,0.165398611,0,1.225690472,0.261480634,0,0.719071744,0,0.571988887
0,0,0,0.236289019,3.842805621,21.67338972,0,0,5.024250715,14.52555652,0.135328562,0,1.280935207,0.099490113,0,0.397960453,0,0.373087924
1,1.051012561,0.109714742,0,11.82924397,2.46090746,0.401606426,0,6.97187313,3.64053461,3.973340169,0,0.089766607,0.049870337,0,0.30919609,0.428884899,0.748055057
1,0.098744098,0.190694127,0,12.57309942,3.752275743,0,0,6.814136791,6.598016781,1.746536242,0.152555301,0.050851767,0,0.152555301,0.127129418,0.584795322,0.533943555
1,0.491881774,0.131083074,0,11.92855972,2.028468202,0,0,4.243814517,5.816811404,0.975057676,0,0.278551532,0,0,0.147468458,0.442405374,0.802883828
1,3.514681938,0,0,12.53049457,10.9595194,0.067374095,0,4.99001996,8.871146596,2.599517152,0.066533599,0,0,0,0.332667997,0.288312264,0.864936793
1,1.18373649,0,0.233800935,11.58984636,8.8280706,0,0.083500334,6.229124916,7.114228457,3.681390209,0,0.183700735,0,0,0.36740147,0.534402138,0.450901804
1,0.206534451,0,0,11.01694915,3.205016548,0,0,6.042059008,5.225988701,1.634857043,0,0,0,0.109855618,0.235404896,0.580665411,0.69052103
0,0,0,0,12.36704014,2.573839662,0,0.198553397,6.140972912,8.707984683,0.99859353,0,0.099276698,0,0,0.297830095,0.269465324,0.354559637
0,0,0,0,13.54798569,2.7199911,0,0.077772593,6.455125214,8.570539742,0.250305929,0,0.513299113,0,0,0,0.279981335,0.451081039
0,0,0,0,9.913850232,1.203024748,0,0.304837641,5.844930417,4.49304175,3.448670944,0,0.463883366,0.212060968,0,0,0.265076209,0.331345262
0,0,0,0,11.35331517,3.976126775,0,0,5.328489252,6.902815622,1.946902655,0,0.333030578,0.25734181,0,0.25734181,0.333030578,0.4238571
0,0,0,0.137709433,10.4773927,1.299778761,0.201880531,0.436079871,4.773927014,3.844388341,2.845685841,0,0.378700941,0,0,0.481983016,0.137709433,0.677071379
0,0,0.039615727,0,11.71635139,6.262660365,0,0.099039319,6.328612459,6.962464098,1.995273464,0.10894325,0.376349411,0,0,0.237694365,0.307021888,0.673467367
1,0,0,0,9.606130814,4.969254612,0,1.176260916,5.792193905,3.81393691,5.229215618,0,0.106932811,0,0,0,0.481197647,0.837640349
1,0.074819187,0,0,9.342023588,9.427217558,0,0.341402855,5.726256983,4.469273743,2.119876964,0,0.077591558,0,0,0.418994413,0.263811297,1.210428305
1,0.190298981,0,0,13.41991342,2.28358777,0.114179389,1.319315605,6.802721088,5.009276438,0.342538166,0,0,0,0,0,0.22675737,0.721500722
1,0.202304211,0,0.17921147,10.07719879,5.376491565,0.133726512,0.992555831,5.403915081,2.219465123,0.548621588,0,0.289495451,0,0,0.082712986,0.399779432,0.992555831
1,0.138931769,0,0,12.2323262,4.745291757,0.024698981,1.173364623,5.632150191,4.370783221,0.148193887,0.176004693,0,0.99735993,0,0,0.293341156,0.469345849
