yyyy,mm,dd,areaNo.,flag,Temp.
1982,8,1,319,R,23.42
1982,8,2,319,R,23.35
1982,8,3,319,R,23.55
1982,8,4,319,R,23.91
1982,8,5,319,R,24.18
1982,8,6,319,R,24.37
1982,8,7,319,R,24.49
1982,8,8,319,R,24.6
1982,8,9,319,R,24.73
1982,8,10,319,R,24.88
1982,8,11,319,R,25.04
1982,8,12,319,R,25.23
1982,8,13,319,R,25.42
1982,8,14,319,R,25.59
1982,8,15,319,R,25.73
1982,8,16,319,R,25.83
1982,8,17,319,R,25.9
1982,8,18,319,R,25.95
1982,8,19,319,R,25.95
1982,8,20,319,R,25.89
1982,8,21,319,R,25.82
1982,8,22,319,R,25.8
1982,8,23,319,R,25.8
1982,8,24,319,R,25.85
1982,8,25,319,R,25.92
1982,8,26,319,R,25.98
1982,8,27,319,R,25.99
1982,8,28,319,R,25.91
1982,8,29,319,R,25.81
1982,8,30,319,R,25.71
1982,8,31,319,R,25.62
1982,9,1,319,R,25.53
1982,9,2,319,R,25.43
1982,9,3,319,R,25.32
1982,9,4,319,R,25.22
1982,9,5,319,R,25.11
1982,9,6,319,R,24.95
1982,9,7,319,R,24.78
1982,9,8,319,R,24.61
1982,9,9,319,R,24.41
1982,9,10,319,R,24.26
1982,9,11,319,R,24.16
1982,9,12,319,R,24.07
1982,9,13,319,R,23.95
1982,9,14,319,R,23.78
1982,9,15,319,R,23.56
1982,9,16,319,R,23.37
1982,9,17,319,R,23.22
1982,9,18,319,R,23.04
1982,9,19,319,R,22.86
1982,9,20,319,R,22.72
1982,9,21,319,R,22.62
1982,9,22,319,R,22.54
1982,9,23,319,R,22.41
1982,9,24,319,R,22.09
1982,9,25,319,R,21.74
1982,9,26,319,R,21.56
1982,9,27,319,R,21.55
1982,9,28,319,R,21.57
1982,9,29,319,R,21.58
1982,9,30,319,R,21.59
1982,10,1,319,R,21.6
1982,10,2,319,R,21.61
1982,10,3,319,R,21.64
1982,10,4,319,R,21.67
1982,10,5,319,R,21.7
1982,10,6,319,R,21.71
1982,10,7,319,R,21.7
1982,10,8,319,R,21.68
1982,10,9,319,R,21.63
1982,10,10,319,R,21.56
1982,10,11,319,R,21.45
1982,10,12,319,R,21.34
1982,10,13,319,R,21.27
1982,10,14,319,R,21.19
1982,10,15,319,R,21.09
1982,10,16,319,R,20.99
1982,10,17,319,R,20.92
1982,10,18,319,R,20.86
1982,10,19,319,R,20.73
1982,10,20,319,R,20.56
1982,10,21,319,R,20.38
1982,10,22,319,R,20.22
1982,10,23,319,R,20.1
1982,10,24,319,R,20.04
1982,10,25,319,R,20
1982,10,26,319,R,19.93
1982,10,27,319,R,19.87
1982,10,28,319,R,19.86
1982,10,29,319,R,19.85
1982,10,30,319,R,19.84
1982,10,31,319,R,19.82
1982,11,1,319,R,19.81
1982,11,2,319,R,19.79
1982,11,3,319,R,19.75
1982,11,4,319,R,19.69
1982,11,5,319,R,19.62
1982,11,6,319,R,19.53
1982,11,7,319,R,19.46
1982,11,8,319,R,19.4
1982,11,9,319,R,19.36
1982,11,10,319,R,19.31
1982,11,11,319,R,19.18
1982,11,12,319,R,19.06
1982,11,13,319,R,18.95
1982,11,14,319,R,18.75
1982,11,15,319,R,18.72
1982,11,16,319,R,18.79
1982,11,17,319,R,18.88
1982,11,18,319,R,18.94
1982,11,19,319,R,18.95
1982,11,20,319,R,18.92
1982,11,21,319,R,18.83
1982,11,22,319,R,18.69
1982,11,23,319,R,18.54
1982,11,24,319,R,18.39
1982,11,25,319,R,18.21
1982,11,26,319,R,17.97
1982,11,27,319,R,17.77
1982,11,28,319,R,17.41
1982,11,29,319,R,16.85
1982,11,30,319,R,16.59
1982,12,1,319,R,16.45
1982,12,2,319,R,16.35
1982,12,3,319,R,16.32
1982,12,4,319,R,16.32
1982,12,5,319,R,16.33
1982,12,6,319,R,16.29
1982,12,7,319,R,16.18
